week,checked_at,step,brand,product,metric,prior_value,current_value,change,source_url,confidence,notes
07,2026-08-25,cleanse,Prequel,Gleanser,TikTok Shop visible sold,56500,58900,+2400 (display total),https://shop.tiktok.com/us/store/prequel/7495297398863006174,High,Same official-shop product card; public total is cumulative rather than weekly sales.
07,2026-08-25,cleanse,Prequel,Gleanser,official price USD,22.00,18.00,-18.2%,https://prequelskin.com/collections/the-gleanser-collection,High,13.5 fl oz official product collection price.
07,2026-08-25,cleanse,Vanicream,Gentle Facial Cleanser,Amazon Beauty BSR,32,24,+8 positions,https://www.amazon.com/dp/B00QY1XZ4W,High,Comparable exposed Amazon Beauty rank.
07,2026-08-25,cleanse,CeraVe,Hydrating Facial Cleanser,Amazon Beauty BSR,50,,not exposed,https://www.amazon.com/dp/B01MSSDEPK,High,Current listing scan did not expose a usable Beauty BSR; no rank carried forward.
07,2026-08-25,cleanse,Naturium,Niacinamide Cleansing Gelee,TikTok Shop visible sold,326,480,+154,https://shop.tiktok.com/us/pdp/niacinamide-cleansing-gelee-3-by-naturium-for-soft-smooth-skin/1729776876934828438,High,Same direct product listing; public total is cumulative.
07,2026-08-25,cleanse,Naturium,Niacinamide Cleansing Gelee,TikTok Shop price USD,17.90,25.95,+45.0%,https://shop.tiktok.com/us/pdp/niacinamide-cleansing-gelee-3-by-naturium-for-soft-smooth-skin/1729776876934828438,High,Current direct listing price; tax and shipping excluded.
07,2026-08-25,cleanse,BeautyStat,Universal Microbiome Barrier Balancing Cleanser,TikTok Shop visible sold,194,196,+2,https://shop.tiktok.com/us/pdp/cleanser-beautystat-universal-microbiome-barrier-150ml-hydrates-protects/1729414753674367088,High,Same direct product listing; public total is cumulative.
07,2026-08-25,cleanse,BeautyStat,Universal Microbiome Barrier Balancing Cleanser,TikTok Shop price USD,13.00,32.85,rebaselined,https://shop.tiktok.com/us/pdp/cleanser-beautystat-universal-microbiome-barrier-150ml-hydrates-protects/1729414753674367088,High,Prior figure was a different listing surface/variant basis; do not treat as a price increase.
07,2026-08-25,treat,Cocokind,Ceramide Barrier Serum,TikTok Shop visible sold,498,576,rebaselined,https://shop.tiktok.com/us/pdp/ceramide-barrier-serum-hydrates-protects-sensitive-skin/1731348339473485899,High,Direct listing now verified; prior source surface was not sufficiently comparable for a weekly delta.
07,2026-08-25,treat,Cocokind,Ceramide Barrier Serum,TikTok Shop price USD,20.60,28.00,rebaselined,https://shop.tiktok.com/us/pdp/ceramide-barrier-serum-hydrates-protects-sensitive-skin/1731348339473485899,High,Prior figure was a promotional/search surface; current direct listing is baseline.
07,2026-08-25,treat,Murad,Biome-Balancing Clear & Prevent,TikTok Shop price USD,71.00,48.00,rebaselined,https://shop.tiktok.com/us/pdp/biome-balancing-acne-serum-by-murad-clears-breakouts-fast-non-comedogenic-formula-supports-healthy-s/1731001908607488040,High,Prior figure was stated value; current figure is direct listing price.
07,2026-08-25,treat,Murad,Biome-Balancing Clear & Prevent,TikTok Shop visible sold,1200,1200,no comparable delta,https://shop.tiktok.com/us/pdp/biome-balancing-acne-serum-by-murad-clears-breakouts-fast-non-comedogenic-formula-supports-healthy-s/1731001908607488040,High,Both observations are rounded 1.2K displays.
07,2026-08-25,hydrate,Dr. Althea,345 Relief Cream,TikTok Shop visible sold,40400,123500,rebaselined,https://shop.tiktok.com/us/pdp/dr-althea-renewed-345-relief-cream-soon-available/1731583840101438362,High,Current official listing total; previous listing surface was not reliably comparable for weekly lift.
07,2026-08-25,hydrate,Dr. Althea,345 Relief Cream,TikTok Shop price USD,28.29,35.10,rebaselined,https://shop.tiktok.com/us/pdp/dr-althea-renewed-345-relief-cream-soon-available/1731583840101438362,High,Current official listing price; tax and shipping excluded.
07,2026-08-25,hydrate,rhode,Barrier Butter,TikTok Shop visible sold,7800,8300,no comparable delta,https://shop.tiktok.com/us/k/rhode-barrier-butter-dry-skin,Medium,Public search result is rounded and does not support precise unit movement.
07,2026-08-25,hydrate,COSRX,The Ceramide Skin Barrier Moisturizer,TikTok Shop visible sold,7900,8100,no comparable delta,https://shop.tiktok.com/us/pdp/moisturizer-cosrx-the-ceramide-skin-barrier-80ml-for-sensitive-dry-skin/1730843567728136363,High,Public totals are rounded; no exact week-over-week delta claimed.
07,2026-08-25,hydrate,COSRX,The Ceramide Skin Barrier Moisturizer,TikTok Shop price USD,18.00,15.00,-16.7%,https://shop.tiktok.com/us/pdp/moisturizer-cosrx-the-ceramide-skin-barrier-80ml-for-sensitive-dry-skin/1730843567728136363,High,Current direct listing price; tax and shipping excluded.
07,2026-08-25,hydrate,Tower 28,SOS Barrier Recovery Cream,TikTok Shop visible sold,488,505,rebaselined,https://shop.tiktok.com/us/pdp/tower-28-sos-barrier-recovery-cream-1-86-fl-oz-for-sensitive-skin/1729408225439748294,High,Current direct product listing establishes the new comparable baseline; prior source link differed.
07,2026-08-25,hydrate,REMEDY,Light Gel Barrier Repairing Moisturizer,TikTok Shop visible sold,878,1100,no comparable delta,https://shop.tiktok.com/us/pdp/remedy-lightweight-gel-cream-hydration-for-oily-skin/1731164996394914774,High,Current display is rounded 1.1K; no exact unit delta claimed.
